Type,Trait,No_data_indicator,Notes
1. Cancer and Oncology-Related Disorders,Breast Cancer,,
1. Cancer and Oncology-Related Disorders,Kidney Papillary Cell Carcinoma,,
1. Cancer and Oncology-Related Disorders,Kidney Clear Cell Carcinoma,,
1. Cancer and Oncology-Related Disorders,Head and Neck Cancer,,
1. Cancer and Oncology-Related Disorders,Glioblastoma,,
1. Cancer and Oncology-Related Disorders,Esophageal Cancer,,
1. Cancer and Oncology-Related Disorders,Endometrioid Cancer,,
1. Cancer and Oncology-Related Disorders,Colon Cancer,,
1. Cancer and Oncology-Related Disorders,Bladder Cancer,,
1. Cancer and Oncology-Related Disorders,Retinoblastoma,,
1. Cancer and Oncology-Related Disorders,Bile Duct Cancer,,
1. Cancer and Oncology-Related Disorders,Adrenocortical Cancer,,
1. Cancer and Oncology-Related Disorders,Acute Myeloid Leukemia,1,
1. Cancer and Oncology-Related Disorders,Paraganglioma,,
1. Cancer and Oncology-Related Disorders,X-Linked Lymphoproliferative Syndrome,,
1. Cancer and Oncology-Related Disorders,Von Hippel Lindau,1,changed from 'Von Hippel-Lindau Syndrome'
1. Cancer and Oncology-Related Disorders,Liver Cancer,,
1. Cancer and Oncology-Related Disorders,Lower Grade Glioma,,
1. Cancer and Oncology-Related Disorders,Large B-cell Lymphoma,,
1. Cancer and Oncology-Related Disorders,Mesothelioma,,
1. Cancer and Oncology-Related Disorders,Lung Cancer,,
1. Cancer and Oncology-Related Disorders,Uterine Corpus Endometrial Carcinoma,,
1. Cancer and Oncology-Related Disorders,Uterine Carcinosarcoma,,
1. Cancer and Oncology-Related Disorders,Thymoma,,
1. Cancer and Oncology-Related Disorders,Thyroid Cancer,,
1. Cancer and Oncology-Related Disorders,Melanoma,1,
1. Cancer and Oncology-Related Disorders,Stomach Cancer,,
1. Cancer and Oncology-Related Disorders,Sarcoma,,
1. Cancer and Oncology-Related Disorders,Testicular Cancer,,
1. Cancer and Oncology-Related Disorders,Rectal Cancer,,
1. Cancer and Oncology-Related Disorders,Prostate Cancer,1,
1. Cancer and Oncology-Related Disorders,Pheochromocytoma and Paraganglioma,,
1. Cancer and Oncology-Related Disorders,Pancreatic Cancer,,
1. Cancer and Oncology-Related Disorders,Ovarian Cancer,,
1. Cancer and Oncology-Related Disorders,Ocular Melanomas,,
1. Cancer and Oncology-Related Disorders,Li-Fraumeni Syndrome,,
2. Cardiovascular Diseases,Atherosclerosis,,
2. Cardiovascular Diseases,Arrhythmia,,
2. Cardiovascular Diseases,Congestive heart failure,,
2. Cardiovascular Diseases,von Willebrand Disease,,
2. Cardiovascular Diseases,Coronary artery disease,,
2. Cardiovascular Diseases,Hypertension,,
2. Cardiovascular Diseases,Atrial Fibrillation,,
2. Cardiovascular Diseases,High-Density Lipoprotein Deficiency,,
2. Cardiovascular Diseases,Cardiovascular Disease,,
2. Cardiovascular Diseases,Essential Thrombocythemia,,
2. Cardiovascular Diseases,Hypertrophic Cardiomyopathy,,
2. Cardiovascular Diseases,Long QT Syndrome,1,
3. Neurological and Psychiatric Disorders,Creutzfeldt-Jakob Disease,,
3. Neurological and Psychiatric Disorders,Stargardt Disease,1,
3. Neurological and Psychiatric Disorders,Stroke,,
3. Neurological and Psychiatric Disorders,Migraine,,
3. Neurological and Psychiatric Disorders,Epilepsy,,
